learning_rate,max_depth,min_child_weight,gamma,colsample_bytree,n_estimators,Ambiguity,Real Test Accuracy,Train Accuracy
0.05,4,1,0.0,0.3,700,7.3098181818181835,51.61727272727273,98.74963636363643
0.05,4,1,0.0,0.3,100,9.662,54.32272727272728,80.86327272727272
0.05,4,1,0.1,0.3,700,6.907454545454545,51.80236363636363,98.75345454545452
0.05,4,1,0.1,0.3,100,9.904181818181819,53.865272727272725,80.85090909090906
0.05,4,3,0.0,0.3,700,7.579090909090911,51.26763636363634,98.23563636363637
0.05,4,3,0.0,0.3,100,8.775454545454547,54.10781818181818,79.60963636363637
0.05,4,3,0.1,0.3,700,6.878363636363638,51.6169090909091,98.16963636363639
0.05,4,3,0.1,0.3,100,9.124727272727274,54.00127272727275,79.59054545454548
0.05,5,1,0.0,0.3,700,6.9870909090909095,51.37690909090909,99.98818181818183
0.05,5,1,0.0,0.3,100,10.625272727272726,52.156363636363636,88.51527272727273
0.05,5,1,0.1,0.3,700,6.561454545454544,51.16309090909091,99.98945454545455
0.05,5,1,0.1,0.3,100,10.089090909090908,52.87890909090909,88.65290909090908
0.05,5,3,0.0,0.3,700,6.802000000000001,51.267818181818186,99.80509090909094
0.05,5,3,0.0,0.3,100,10.010727272727273,52.82345454545454,86.43236363636365
0.05,5,3,0.1,0.3,700,6.50618181818182,51.751090909090905,99.79163636363639
0.05,5,3,0.1,0.3,100,9.634363636363638,52.95818181818181,86.45145454545457
0.1,4,1,0.0,0.3,700,7.73818181818182,51.02945454545454,99.99872727272728
0.1,4,1,0.0,0.3,100,11.937818181818182,51.111272727272734,86.71781818181817
0.1,4,1,0.1,0.3,700,7.550545454545455,51.081999999999994,99.99618181818182
0.1,4,1,0.1,0.3,100,12.04636363636364,51.11181818181819,86.57636363636365
0.1,4,3,0.0,0.3,700,7.042000000000001,50.70727272727272,99.94454545454545
0.1,4,3,0.0,0.3,100,12.260545454545456,51.56545454545457,85.20290909090907
0.1,4,3,0.1,0.3,700,6.959090909090911,50.896909090909084,99.95145454545457
0.1,4,3,0.1,0.3,100,12.09981818181818,51.67218181818182,85.186
0.1,5,1,0.0,0.3,700,7.012545454545456,51.085636363636354,100.0
0.1,5,1,0.0,0.3,100,11.992363636363638,50.4950909090909,94.14309090909089
0.1,5,1,0.1,0.3,700,7.572909090909093,51.511636363636356,100.0
0.1,5,1,0.1,0.3,100,12.045636363636357,50.33363636363635,94.04672727272727
0.1,5,3,0.0,0.3,700,7.198000000000002,51.4070909090909,100.0
0.1,5,3,0.0,0.3,100,10.68,51.11218181818181,92.14163636363635
0.1,5,3,0.1,0.3,700,6.693090909090912,51.511090909090896,100.0
0.1,5,3,0.1,0.3,100,11.645090909090909,50.841272727272724,92.10327272727275
