Player,Bowling Inns,Overs,Wickets,Bowling Average,Bowling SR
SK Raina,1,1.0,0,0.0,0.0
RA Jadeja,16,54.0,15,22.86,21.6
Imran Tahir,17,64.2,26,16.57,14.8
MJ Santner,4,14.0,4,23.5,21.0
Harbhajan Singh,11,44.0,16,19.5,16.5
DL Chahar,17,64.3,22,21.9,17.5
DJ Bravo,12,41.1,11,30.0,22.4
SC Kuggeleijn,2,8.0,2,35.5,24.0
MM Sharma,1,3.0,1,27.0,18.0
SN Thakur,9,30.0,8,35.12,22.5
KV Sharma,1,2.5,1,33.0,17.0
SW Billings,0,0.0,0,0.0,0.0
MS Dhoni,0,0.0,0,0.0,0.0
F du Plessis,0,0.0,0,0.0,0.0
KM Jadhav,0,0.0,0,0.0,0.0
AT Rayudu,0,0.0,0,0.0,0.0
DR Shorey,0,0.0,0,0.0,0.0
M Vijay,0,0.0,0,0.0,0.0
SR Watson,0,0.0,0,0.0,0.0
R Tewatia,3,6.2,2,21.0,19.0
A Mishra,11,40.0,11,24.54,21.8
J Suchith,1,4.0,2,14.0,12.0
AR Patel,14,51.0,10,36.4,30.6
I Sharma,13,46.0,13,26.84,21.2
K Rabada,12,47.0,25,14.72,11.2
TA Boult,5,19.0,5,32.6,22.8
SE Rutherford,6,6.5,1,59.0,41.0
KMA Paul,8,27.1,9,26.33,18.1
GH Vihari,1,1.0,0,0.0,0.0
S Lamichhane,6,23.0,8,26.25,17.2
CH Morris,9,33.0,13,23.53,15.2
HV Patel,2,8.0,2,38.5,24.0
Avesh Khan,1,3.0,0,0.0,0.0
S Dhawan,0,0.0,0,0.0,0.0
CA Ingram,0,0.0,0,0.0,0.0
SS Iyer,0,0.0,0,0.0,0.0
C Munro,0,0.0,0,0.0,0.0
RR Pant,0,0.0,0,0.0,0.0
PP Shaw,0,0.0,0,0.0,0.0
S Sandeep Warrier,3,12.0,2,42.5,36.0
SP Narine,12,44.2,10,34.7,26.6
Kuldeep Yadav,9,33.0,4,71.5,49.5
HF Gurney,8,27.0,7,34.0,23.1
PP Chawla,13,44.3,10,39.9,26.7
N Rana,6,8.0,3,24.0,16.0
M Prasidh Krishna,11,40.2,4,94.25,60.5
AD Russell,12,30.1,11,26.09,16.4
CR Brathwaite,2,3.0,0,0.0,0.0
LH Ferguson,5,17.0,2,91.5,51.0
Y Prithvi Raj,2,5.0,1,57.0,30.0
KC Cariappa,1,2.0,0,0.0,0.0
JL Denly,0,0.0,0,0.0,0.0
KD Karthik,0,0.0,0,0.0,0.0
CA Lynn,0,0.0,0,0.0,0.0
NS Naik,0,0.0,0,0.0,0.0
Shubman Gill,0,0.0,0,0.0,0.0
RK Singh,0,0.0,0,0.0,0.0
RV Uthappa,0,0.0,0,0.0,0.0
R Ashwin,14,55.0,15,26.66,22.0
M Ashwin,10,34.0,5,51.0,40.8
Mohammed Shami,14,54.0,19,24.68,17.0
AS Rajpoot,4,16.0,3,50.66,32.0
Harpreet Brar,2,5.0,0,0.0,0.0
GC Viljoen,6,23.0,7,31.71,19.7
SM Curran,9,33.0,10,32.3,19.8
Mujeeb Ur Rahman,5,19.0,3,63.66,38.0
AJ Tye,6,22.0,3,77.66,44.0
Arshdeep Singh,3,10.0,3,36.33,20.0
CV Varun,1,3.0,1,35.0,18.0
Mandeep Singh,2,2.0,0,0.0,0.0
SN Khan,1,0.2,0,0.0,0.0
MA Agarwal,0,0.0,0,0.0,0.0
CH Gayle,0,0.0,0,0.0,0.0
DA Miller,0,0.0,0,0.0,0.0
KK Nair,0,0.0,0,0.0,0.0
N Pooran,0,0.0,0,0.0,0.0
KL Rahul,0,0.0,0,0.0,0.0
P Simran Singh,0,0.0,0,0.0,0.0
AS Roy,1,2.0,1,11.0,12.0
RD Chahar,13,47.0,13,23.69,21.6
JJ Bumrah,16,61.4,19,21.52,19.4
J Yadav,2,7.0,1,50.0,42.0
KH Pandya,16,46.0,12,27.91,23.0
MJ McClenaghan,5,18.0,3,47.33,36.0
JP Behrendorff,5,19.0,5,33.0,22.8
HH Pandya,16,42.3,14,27.85,18.2
SL Malinga,12,44.5,16,27.37,16.8
M Markande,3,6.0,1,59.0,36.0
AS Joseph,3,8.4,6,14.5,8.6
Rasikh Salam,1,4.0,0,0.0,0.0
BB Sran,2,4.0,0,0.0,0.0
BCJ Cutting,1,2.0,1,27.0,12.0
Q de Kock,0,0.0,0,0.0,0.0
Ishan Kishan,0,0.0,0,0.0,0.0
SD Lad,0,0.0,0,0.0,0.0
E Lewis,0,0.0,0,0.0,0.0
KA Pollard,0,0.0,0,0.0,0.0
RG Sharma,0,0.0,0,0.0,0.0
SA Yadav,0,0.0,0,0.0,0.0
Yuvraj Singh,0,0.0,0,0.0,0.0
S Dube,2,1.4,0,0.0,0.0
MM Ali,9,25.0,6,28.16,25.0
YS Chahal,14,49.2,18,21.44,16.4
Washington Sundar,3,9.0,4,18.5,13.5
NA Saini,13,48.0,11,36.09,26.1
DW Steyn,2,8.0,4,17.25,12.0
MP Stoinis,6,16.4,2,72.5,50.0
P Negi,4,11.1,3,34.0,22.3
K Khejroliya,2,5.0,1,46.0,30.0
Mohammed Siraj,9,28.1,7,38.42,24.1
UT Yadav,11,37.5,8,46.37,28.3
C de Grandhomme,3,5.0,0,0.0,0.0
TG Southee,3,9.0,1,118.0,54.0
P Ray Barman,1,4.0,0,0.0,0.0
AD Nath,0,0.0,0,0.0,0.0
AB de Villiers,0,0.0,0,0.0,0.0
Gurkeerat Singh,0,0.0,0,0.0,0.0
SO Hetmyer,0,0.0,0,0.0,0.0
H Klaasen,0,0.0,0,0.0,0.0
V Kohli,0,0.0,0,0.0,0.0
PA Patel,0,0.0,0,0.0,0.0
STR Binny,5,7.0,1,44.0,42.0
JC Archer,11,43.0,11,26.45,23.4
S Gopal,14,48.0,20,17.35,14.4
O Thomas,4,10.0,5,15.8,12.0
K Gowtham,7,20.0,1,166.0,120.0
R Parag,7,14.0,2,60.5,42.0
IS Sodhi,2,7.1,4,16.75,10.7
DS Kulkarni,10,35.0,6,55.83,35.0
VR Aaron,5,12.0,4,29.0,18.0
JD Unadkat,11,37.2,10,39.8,22.4
BA Stokes,6,16.5,6,31.5,16.8
LS Livingstone,1,1.0,0,0.0,0.0
S Midhun,1,2.0,0,0.0,0.0
JC Buttler,0,0.0,0,0.0,0.0
P Chopra,0,0.0,0,0.0,0.0
MK Lomror,0,0.0,0,0.0,0.0
AM Rahane,0,0.0,0,0.0,0.0
SV Samson,0,0.0,0,0.0,0.0
SPD Smith,0,0.0,0,0.0,0.0
RA Tripathi,0,0.0,0,0.0,0.0
AJ Turner,0,0.0,0,0.0,0.0
Rashid Khan,15,60.0,17,22.17,21.1
Mohammad Nabi,8,29.1,8,24.25,21.8
B Kumar,15,59.0,13,35.46,27.2
YK Pathan,1,1.0,0,0.0,0.0
KK Ahmed,9,34.5,19,15.1,11.0
Sandeep Sharma,11,42.4,12,29.33,21.3
V Shankar,5,8.0,1,70.0,48.0
Shakib Al Hasan,3,10.5,2,47.5,32.5
S Kaul,7,27.0,6,40.33,27.0
Basil Thampi,3,12.0,0,0.0,0.0
S Nadeem,3,9.0,2,45.0,27.0
Abhishek Sharma,2,2.0,1,21.0,12.0
DJ Hooda,2,2.0,1,21.0,12.0
JM Bairstow,0,0.0,0,0.0,0.0
RK Bhui,0,0.0,0,0.0,0.0
MJ Guptill,0,0.0,0,0.0,0.0
MK Pandey,0,0.0,0,0.0,0.0
WP Saha,0,0.0,0,0.0,0.0
DA Warner,0,0.0,0,0.0,0.0
KS Williamson,0,0.0,0,0.0,0.0
